ticker,GICS,volatility63Days,return21Days,IR21Days,return252Days,IR252Days,medianDollarVolume21Days,shortInterestFloat,Sales,Operating Income,SG&A,R&D,Interest Expense,Operating Expense,Earnings,Dividend,Depreciation,Operating Cash Flow,Capital Expenditure,Short Term Debt,Long Term Debt,Long Liabilities,Assets,Equity,Cash,Working Capital,ROA,Profit Margin,Operating Margin,R&D/Sales,Sales Variability,Earnings Variability,Sales Growth,Earnings Growth,FCF,Accrual Ratio,outstandingShares,Market Cap,Operating Income Before Depreciation,Income Tax,Minority Interest,Preferred Stock,Sales Growth (1Y),Sales Growth (2Y),Sales Growth (3Y),Debt/Equity,ROE,EBIT,TEV,EBIT/TEV,E/P,S/P,B/P,CF/P,FCF/P,EBIT/P,Sales Growth (4Y),Sales Growth (5Y),Earnings Growth (1Y),Earnings Growth (2Y),Earnings Growth (3Y),Earnings Growth (4Y),Earnings Growth (5Y),Market Leverage,Size (Assets),Size (Market Cap),Earnings Yield,Volatility,Book Leverage,Profitability(ROA),Profitability(ROE),Accrual,Neg Sales Yield,Book Yield,Dividend Yield,Variability,prof_low
ASH,15101050,0.015600793,0.075049159,3.259658104,0.129544896,0.634834137,46000982.44,0.041936006,37.85312268,4.248249341,6.709211462,-0.221671097,1.19429747,29.45103482,16.61256491,1.192882642,4.153838525,5.481332436,1.458440705,0.368421053,25.22807018,59.63157895,118.9473684,59.31578947,17.54385965,21.31578947,0.139663156,0.438869074,0.112229825,0.02311567,0.09645677,3.585320741,-1.29639949,3,4.022891731,0.105842385,54534322,5366722628,8.402087866,-0.032865904,0,0,0.073078756,-0.015570501,-0.021792142,0.431529133,0.280069861,8.369221962,106.4626316,0.023052465,0.168809724,0.384647116,0.602741484,0.055698937,0.055698937,0.085044426,-0.057011894,-0.049727011,6.325255976,,1.450662243,,,-0.395558441,-0.474452355,-0.636481248,1.394907714,-0.67852061,-0.365569931,1.136846195,0.586746493,1.885951608,0.264009433,0.508793596,-0.239753077,1.462920355,0
AGNCP,40204010,0.006694233,0.000113648,0.072673242,0.041671455,0.514134122,1118052.45,0.000190785,1.695610019,1.534100811,0,-0.508533802,-3.592695476,0.161509208,-1.672454319,1.62281173,0,2.817940784,0,83.85466336,1.651726111,109.6013733,126.6336067,14.19225634,3.988174709,0,-0.013207034,-0.986343734,0.904748612,0,,,-2.168063517,-2.902914408,2.817940784,-0.035459743,523300000,12208589000,1.534100811,0,0,2.839977112,-0.576931002,,,6.02486225,-0.117842736,1.534100811,107.6881919,-0.752771491,-0.071686855,0.072679384,0.608326461,0.120786146,0.120786146,0.065756571,,,-1.292726102,,,,,0.74036061,0.066252601,-0.434418285,-1.361868355,-1.377794051,0.143820665,-0.692007071,-1.145116959,-0.523037612,0.760616273,0.522642337,2.247508348,0.072391239,0
COKE,30201030,0.040846999,0.097905088,2.57776294,0.716799412,1.477485943,18376331.49,0.028097961,606.0633335,51.49523442,160.6155471,-0.508533802,3.446910951,535.0602358,24.42205926,0.997314753,19.50786331,60.69951997,23.70840521,16.04161345,77.44274159,279.085249,364.6160068,85.53075777,13.52543636,16.72488293,0.066980217,0.040296216,0.084966754,0,0.074555093,0.753199482,0.168124345,0.665128489,36.99111476,-0.034472034,9373689,4814326670,71.00309773,8.37288765,0,0,0.118621311,0.079366032,0.067805132,1.092991077,0.285535402,79.37598538,593.5589187,0.687395609,0.047550738,1.180029855,0.166531849,0.118184424,0.118184424,0.154548258,0.060563327,0.10764932,0.089158676,1.648869497,,0.272365463,0.32888876,-0.412423434,-0.502210143,-0.652795329,-0.161700433,1.303614123,-0.305329912,0.26730825,0.610534556,-0.506198667,-1.002123144,-0.572849908,-0.68057507,-0.762191382,0
OPEN,60102040,0.070760084,0.006984866,0.629700047,-0.580097087,-0.601841984,132441745.8,0.156528288,20.04911426,-0.348688038,2.232464748,-0.384265353,0.323761687,20.3439402,-0.606611546,0,0.053862096,-6.596174073,0.06347235,4.176127718,4.85498256,9.246471125,12.9091661,3.662694976,5.025086417,8.216484468,-0.046990762,-0.030256277,-0.017391693,0.01001367,,,0.011562066,0.024848063,-6.659646423,0.468894337,622918512,5388245129,-0.294825943,0.001499924,0,0,,,,2.465700895,-0.165618909,-0.293326019,12.65602386,-1.2038371,-0.070128502,2.317816677,0.423432945,-0.762563477,-0.762563477,-0.033910522,,,,,,,,-0.27074107,-0.460390883,-0.635845617,-1.361868355,3,-0.180315818,-1.096176653,-1.353056613,2.580588944,-2.813312764,0.064172705,-0.764662969,0.072391239,0
CCMP,45301010,0.01169298,0.013669662,1.117845152,0.00465121,0.235869949,71244948.8,0.102762558,43.26549242,8.150630771,9.215373475,0.026959766,1.32119871,30.54331461,3.826045182,1.830291121,4.571547044,8.810062822,1.518694764,0.619952412,31.00634505,43.32994241,75.88558226,32.55563985,8.196317114,14.76919894,0.050418605,0.088431796,0.188386409,0.043150581,0.069401009,4.816422869,0.830885303,-0.524299882,7.291368058,-0.045665102,28612000,5304664800,12.72217782,1.247789797,0,0,0.13001651,0.068838381,0.146804586,0.971453721,0.117523268,13.96996761,208.8299803,-0.118157547,0.020636705,0.233362958,0.175596763,0.047519217,0.047519217,0.075350419,0.194000219,0.178868979,,0.276670401,-0.058233607,0.079165358,0.035687789,-0.495907067,-0.513485037,-0.638314021,-0.507197329,-0.985331559,-0.316398444,0.069174404,-0.120716668,-0.697023678,0.504831607,-0.550372172,-0.337162385,1.323239096,0
HD,25504030,0.016496554,-0.105869152,-4.364460956,0.342700792,1.523059503,1779381312,0.008097873,142.8144013,22.00673128,23.76191669,-0.508533802,1.273094994,118.5524262,15.51716322,6.600508941,2.255243795,15.61403608,2.430042426,4.134228188,40.22722915,70.5388303,68.91275168,-1.626078619,2.246404602,0.347075743,0.225171145,0.10865265,0.154093222,0,0.168644556,0.254737196,0.398166716,0.10939164,13.18399366,0.033856863,1041427340,3.81725E+11,24.26197507,5.01002351,0,0,0.164803613,0.192107787,0.146606163,,,29.27199858,408.6550527,-0.061100549,0.042334161,0.389628421,-0.004436292,0.042598451,0.042598451,0.079860312,0.137638431,0.132369453,0.299515475,0.230444106,0.168290962,0.207932106,0.191896413,-0.507031438,0.116001412,3,-0.228665924,-0.608192448,3,2.159815843,1.41E-16,0.65870648,0.256079927,-0.996789603,0.015135391,-0.662269655,1
DOCU,45103010,0.064346069,-0.174249885,-3.26793425,-0.509228548,-0.714124044,590390982.4,0.046478545,10.70898899,-0.286414511,8.558181089,1.807742038,0.032772595,10.57886897,-0.355051968,0,0.416534532,2.579531862,0.311954724,0.1882559,4.252049706,11.40367513,12.79029328,1.386618148,4.042046032,-0.261934601,-0.027759486,-0.033154574,-0.026745243,0.186647711,0.294262469,,2.486499151,0.024848063,2.267577138,-0.205048395,197876523,24886930298,0.130120021,0.015642149,0,0,0.3708813,0.394649591,0.35677966,3.202255511,-0.256056052,0.14576217,126.1682596,-0.910554915,-0.002823026,0.085147404,0.011025031,0.020509914,0.020509914,0.001158958,,,,,,,,-0.534467796,-0.510231974,-0.059984899,-0.808351167,3,-0.113237032,-0.866104453,-1.746672655,-3,0.740769015,-0.958451064,-0.764662969,0.611008453,0
WMS,20102010,0.031053726,-0.056464422,-1.24234329,0.068863482,0.364570439,53658896.11,0.022294464,38.04107137,6.170874647,4.206102813,-0.508533802,0.460829333,29.92298037,3.729890051,0.528538837,1.947216351,3.758893948,2.047161826,0.52773313,13.09191707,21.04112295,36.09336094,12.16442368,0.274130275,6.547211703,0.103340059,0.098049027,0.162216111,0,0.204918172,4.814122767,0.17464141,1.130468605,1.711732122,0.055914935,72309000,8591032290,8.118090998,1.511682609,0.22641458,2.661399733,0.365980311,0.20206307,0.16479825,1.119629714,0.306622833,9.629773607,135.0433342,-0.06497357,0.031393738,0.320184087,0.10238552,0.031637858,0.031637858,0.081051878,0.125598834,0.108349638,0.179546588,,0.401671228,0.355846495,0.443597789,-0.504616004,-0.50951765,-0.54125671,-0.369108716,0.534722886,-0.302903904,0.702297019,0.702314892,1.03476351,0.366625114,-0.731909806,-0.572021324,2.022875981,0
CNMD,35101010,0.021100732,0.035754798,1.668144514,0.133099926,0.576129445,28747931.4,0.058728215,30.854812,3.397035093,13.19918455,0.029104534,0.916717619,26.16957212,2.046342978,0.705681645,1.288204792,2.760835707,0.467834373,0.34791637,20.01257289,28.33673731,50.79573318,22.45899588,0.707267814,8.553633907,0.040285726,0.06632168,0.110097417,0.043323409,0.111150742,1.496416107,-0.618420002,0.785161316,2.293001334,-0.004855887,29516527,4384680086,4.685239884,0.398912429,0,0,0.046984171,-0.015736241,0.006698362,0.906562759,0.091114625,5.084152313,168.2032214,-0.56015382,0.013775449,0.207706577,0.151188124,0.018585229,0.018585229,0.034225192,0.018361091,0.023128016,4.203222932,0.353411052,0.237695196,-0.048514411,0.358477546,-0.507486909,-0.519562471,-0.665484215,-0.595275645,-0.246708366,-0.32230813,-0.05204968,-0.235656895,-0.001287807,0.5456728,-0.610896844,-0.558949639,0.002029803,0
HQY,35102030,0.043200802,0.2079566,5.459723477,-0.374165593,-0.815795101,37644277.52,0.053365764,9.10100722,0.489160261,3.612237945,2.071571396,0.390857641,6.962028816,-0.530075728,0,1.649818144,1.694937356,0.107277495,0.249928322,11.79467912,14.98694271,37.11833994,22.13139724,2.692860897,2.367157261,-0.014280696,-0.058243633,0.053747926,0.207907331,0.202941875,13.85380913,1.498157329,-2.902914408,1.587659862,-0.057053618,83601381,4467657801,2.138978405,-0.269427673,0,0,-0.067613663,0.083691743,0.262008586,0.544231678,-0.0239513,1.869550731,62.79174655,-0.565606966,-0.009919082,0.170303279,0.414135427,0.031716642,0.031716642,0.034984108,0.251355885,0.250573393,-5.628976629,,,,,-0.483308568,-0.505056117,-0.663033608,-0.899443619,1.488416305,-0.355305994,-0.704851764,-0.736466546,-0.89118078,0.605213361,0.041118194,-0.764662969,2.012672916,0
